[INFO] Output base: /tmp/spai_hf_ai_vs_real_200_20260418_215050
[INFO] Log en vivo + guardado en: /tmp/spai_hf_ai_vs_real_200_20260418_215050/run.log
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.4.1)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/albumentations/__init__.py:13: UserWarning: A new version of Albumentations is available: 2.0.8 (you have 1.4.14). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.
  check_for_updates()
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
=> merge config from /fhome/aaasidar/spai-hf/configs/spai.yaml
Randomized dataset order (seed=42, buffer_size=2000)
Using split 'train' from dataset 'Parveshiiii/AI-vs-Real' (requested: 'train')
Using image column 'image'
Using dataset profile for 'Parveshiiii/AI-vs-Real': {'gt_label_column': 'binary_label', 'label_names': {0: 'ai-generated', 1: 'real'}, 'label_to_model': {0: 1, 1: 0}}
Using label_to_model override: {0: 1, 1: 0}
img=1 | ref=index:0 | score=0.001630 | pred=real | gt=real | ok=1 | ai=0 | real=1 | acc=1.0000 | ips=0.20
img=189 | ref=index:188 | score=0.000004 | pred=real | gt=real | ok=1 | ai=73 | real=116 | acc=0.6138 | ips=0.20
img=190 | ref=index:189 | score=0.000018 | pred=real | gt=real | ok=1 | ai=73 | real=117 | acc=0.6158 | ips=0.20
img=191 | ref=index:190 | score=0.136549 | pred=real | gt=real | ok=1 | ai=73 | real=118 | acc=0.6178 | ips=0.20
img=192 | ref=index:191 | score=0.009864 | pred=real | gt=real | ok=1 | ai=73 | real=119 | acc=0.6198 | ips=0.20
img=193 | ref=index:192 | score=0.981218 | pred=ai-generated | gt=real | ok=0 | ai=74 | real=119 | acc=0.6166 | ips=0.20
img=194 | ref=index:193 | score=0.894002 | pred=ai-generated | gt=real | ok=0 | ai=75 | real=119 | acc=0.6134 | ips=0.20
img=195 | ref=index:194 | score=0.000000 | pred=real | gt=real | ok=1 | ai=75 | real=120 | acc=0.6154 | ips=0.20
img=196 | ref=index:195 | score=0.676185 | pred=ai-generated | gt=real | ok=0 | ai=76 | real=120 | acc=0.6122 | ips=0.20
img=197 | ref=index:196 | score=0.700066 | pred=ai-generated | gt=real | ok=0 | ai=77 | real=120 | acc=0.6091 | ips=0.20
img=198 | ref=index:197 | score=0.000047 | pred=real | gt=real | ok=1 | ai=77 | real=121 | acc=0.6111 | ips=0.20
img=199 | ref=index:198 | score=0.999772 | pred=ai-generated | gt=real | ok=0 | ai=78 | real=121 | acc=0.6080 | ips=0.20
img=200 | ref=index:199 | score=0.000000 | pred=real | gt=real | ok=1 | ai=78 | real=122 | acc=0.6100 | ips=0.20
Finished inference: total=200, ai=78, real=122, with_gt=200, correct=122, elapsed=976.47s, avg_ips=0.20
CSV results saved to /tmp/spai_hf_ai_vs_real_200_20260418_215050/results.csv
JSONL results saved to /tmp/spai_hf_ai_vs_real_200_20260418_215050/results.jsonl
Run summary saved to /tmp/spai_hf_ai_vs_real_200_20260418_215050/results.summary.json

real	16m30,440s
user	62m57,210s
sys	1m51,180s

[OK] Ejecución finalizada
[OK] CSV:          /tmp/spai_hf_ai_vs_real_200_20260418_215050/results.csv
[OK] JSONL:        /tmp/spai_hf_ai_vs_real_200_20260418_215050/results.jsonl
[OK] Log completo: /tmp/spai_hf_ai_vs_real_200_20260418_215050/run.log
